order,lesson_id,title,level,level_title,module,status,route,legacy_route,prerequisites
1,"what-is-finance","What is finance?",0,"Finance Foundations","Finance basics",authored,"#/lesson/what-is-finance","#/topic/0-finance-basics-what-is-finance",""
2,"personal-corporate-investing","Personal finance vs corporate finance vs investing",0,"Finance Foundations","Finance basics",authored,"#/lesson/personal-corporate-investing","#/topic/0-finance-basics-personal-finance-vs-corporate-finance-vs-investing","what-is-finance"
3,"financial-markets","Financial markets",0,"Finance Foundations","Finance basics",authored,"#/lesson/financial-markets","#/topic/0-finance-basics-financial-markets","what-is-finance"
4,"companies-and-capital","Companies and capital",0,"Finance Foundations","Finance basics",authored,"#/lesson/companies-and-capital","#/topic/0-finance-basics-companies-and-capital","what-is-finance"
5,"revenue","Revenue",0,"Finance Foundations","Finance basics",authored,"#/lesson/revenue","#/topic/0-finance-basics-revenue","companies-and-capital"
6,"costs","Costs",0,"Finance Foundations","Finance basics",authored,"#/lesson/costs","#/topic/0-finance-basics-costs","revenue"
7,"profit","Profit",0,"Finance Foundations","Finance basics",authored,"#/lesson/profit","#/topic/0-finance-basics-profit","revenue costs"
8,"cash","Cash",0,"Finance Foundations","Finance basics",authored,"#/lesson/cash","#/topic/0-finance-basics-cash","profit"
9,"assets","Assets",0,"Finance Foundations","Finance basics",authored,"#/lesson/assets","#/topic/0-finance-basics-assets","cash"
10,"liabilities","Liabilities",0,"Finance Foundations","Finance basics",authored,"#/lesson/liabilities","#/topic/0-finance-basics-liabilities","assets"
11,"equity","Equity",0,"Finance Foundations","Finance basics",authored,"#/lesson/equity","#/topic/0-finance-basics-equity","assets liabilities"
12,"debt","Debt",0,"Finance Foundations","Finance basics",authored,"#/lesson/debt","#/topic/0-finance-basics-debt","equity liabilities"
13,"interest","Interest",0,"Finance Foundations","Finance basics",authored,"#/lesson/interest","#/topic/0-finance-basics-interest","debt"
14,"risk","Risk",0,"Finance Foundations","Finance basics",authored,"#/lesson/risk","#/topic/0-finance-basics-risk","what-is-finance"
15,"return","Return",0,"Finance Foundations","Finance basics",authored,"#/lesson/return","#/topic/0-finance-basics-return","risk"
16,"time-value-of-money","Time value of money",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/time-value-of-money","#/topic/0-time-value-decision-making-time-value-of-money","interest return"
17,"compounding","Compounding",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/compounding","#/topic/0-time-value-decision-making-compounding","time-value-of-money"
18,"inflation","Inflation",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/inflation","#/topic/0-time-value-decision-making-inflation","time-value-of-money"
19,"present-value","Present value",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/present-value","#/topic/0-time-value-decision-making-present-value","time-value-of-money"
20,"future-value","Future value",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/future-value","#/topic/0-time-value-decision-making-future-value","compounding"
21,"opportunity-cost","Opportunity cost",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/opportunity-cost","#/topic/0-time-value-decision-making-opportunity-cost","present-value"
22,"risk-vs-reward","Risk vs reward",0,"Finance Foundations","Time value & decision making",authored,"#/lesson/risk-vs-reward","#/topic/0-time-value-decision-making-risk-vs-reward","risk return opportunity-cost"
23,"accounting-equation","Accounting equation",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/accounting-equation","#/topic/1-accounting-mechanics-accounting-equation","assets liabilities equity"
24,"double-entry-accounting","Double-entry accounting",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/double-entry-accounting","#/topic/1-accounting-mechanics-double-entry-accounting","accounting-equation"
25,"debits-and-credits","Debits and credits",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/debits-and-credits","#/topic/1-accounting-mechanics-debits-and-credits","double-entry-accounting"
26,"chart-of-accounts","Chart of accounts",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/chart-of-accounts","#/topic/1-accounting-mechanics-chart-of-accounts","debits-and-credits"
27,"accrual-accounting","Accrual accounting",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/accrual-accounting","#/topic/1-accounting-mechanics-accrual-accounting","accounting-equation cash"
28,"cash-accounting","Cash accounting",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/cash-accounting","#/topic/1-accounting-mechanics-cash-accounting","accrual-accounting"
29,"revenue-recognition","Revenue recognition",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/revenue-recognition","#/topic/1-accounting-mechanics-revenue-recognition","accrual-accounting revenue"
30,"expenses","Expenses",1,"Accounting Foundations","Accounting mechanics",authored,"#/lesson/expenses","#/topic/1-accounting-mechanics-expenses","accrual-accounting costs"
31,"accounts-receivable","Accounts receivable",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/accounts-receivable","#/topic/1-working-capital-operating-assets-accounts-receivable","revenue-recognition cash"
32,"accounts-payable","Accounts payable",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/accounts-payable","#/topic/1-working-capital-operating-assets-accounts-payable","accounts-receivable expenses"
33,"inventory","Inventory",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/inventory","#/topic/1-working-capital-operating-assets-inventory","accounts-payable expenses"
34,"prepaid-expenses","Prepaid expenses",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/prepaid-expenses","#/topic/1-working-capital-operating-assets-prepaid-expenses","expenses accrual-accounting"
35,"deferred-revenue","Deferred revenue",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/deferred-revenue","#/topic/1-working-capital-operating-assets-deferred-revenue","revenue-recognition"
36,"accrued-expenses","Accrued expenses",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/accrued-expenses","#/topic/1-working-capital-operating-assets-accrued-expenses","expenses accrual-accounting"
37,"working-capital","Working capital",1,"Accounting Foundations","Working capital & operating assets",authored,"#/lesson/working-capital","#/topic/1-working-capital-operating-assets-working-capital","inventory accounts-receivable accounts-payable"
38,"depreciation","Depreciation",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/depreciation","#/topic/1-long-lived-assets-equity-depreciation","expenses assets"
39,"amortization","Amortization",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/amortization","#/topic/1-long-lived-assets-equity-amortization","depreciation"
40,"ppe","PP&E",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/ppe","#/topic/1-long-lived-assets-equity-pp-e","depreciation assets"
41,"goodwill","Goodwill",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/goodwill","#/topic/1-long-lived-assets-equity-goodwill","assets equity"
42,"intangible-assets","Intangible assets",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/intangible-assets","#/topic/1-long-lived-assets-equity-intangible-assets","amortization goodwill"
43,"retained-earnings","Retained earnings",1,"Accounting Foundations","Long-lived assets & equity",authored,"#/lesson/retained-earnings","#/topic/1-long-lived-assets-equity-retained-earnings","equity profit"
44,"revenue-line-item","Revenue",2,"Financial Statements","Income statement",draft,"#/lesson/revenue-line-item","#/topic/2-income-statement-revenue",""
45,"cogs","COGS",2,"Financial Statements","Income statement",outline,"#/lesson/cogs","#/topic/2-income-statement-cogs",""
46,"gross-profit","Gross profit",2,"Financial Statements","Income statement",outline,"#/lesson/gross-profit","#/topic/2-income-statement-gross-profit",""
47,"operating-expenses","Operating expenses",2,"Financial Statements","Income statement",outline,"#/lesson/operating-expenses","#/topic/2-income-statement-operating-expenses",""
48,"ebitda","EBITDA",2,"Financial Statements","Income statement",draft,"#/lesson/ebitda","#/topic/2-income-statement-ebitda",""
